"X";"COUNT";"MATH";"READ";"SCIE";"GLCM";"RCLI";"RCUN";"RCER";"RTSN";"RTML"
"582074";582074;"USA";453,0034;424,8489;432,2541; ;424,2589;438,9597;402,3024;409,3153;411,6165
"582075";582075;"USA";471,2529;490,4809;495,5077; ;488,7815;458,1931;506,0041;466,6723;496,1162
"582076";582076;"USA";394,0801;365,8919;437,3483; ;370,9901;371,3858;342,1849;401,4198;347,502
"582077";582077;"USA";653,7623;734,7348;695,8516; ;695,1252;706,1665;717,8496;718,6652;727,6925
"582078";582078;"USA";319,7191;272,7364;322,006; ;155,6194;214,2505;234,641;240,2415;230,0389
"582079";582079;"USA";545,3529;668,9975;593,5048; ;689,418;659,8719;653,5717;651,7741;647,8131
"582080";582080;"USA";604,5652;613,3692;630,0748; ;594,7188;625,0653;629,4386;628,0824;627,9996
"582081";582081;"USA";505,3836;549,2556;558,3307; ;515,1674;544,5361;559,7159;571,1504;544,8967
"582082";582082;"USA";531,9537;587,9936;529,5359; ;585,0879;612,9742;620,7347;635,2777;597,3806
"582083";582083;"USA";507,8441;516,7723;552,618; ;488,4109;527,9707;540,6973;525,2079;537,468
"582084";582084;"USA";455,0988;485,8645;494,4193; ;480,2533;494,1785;497,1617;487,3418;485,9387
"582085";582085;"USA";519,2547;560,9784;526,4556; ;548,9406;535,7215;529,1205;553,0949;573,9804
"582086";582086;"USA";431,2047;418,4186;393,1689; ;421,6308;402,6527;423,6003;388,4027;421,7507
"582087";582087;"USA";537,1321;563,9492;566,1953; ;561,5274;557,4932;560,4402;558,6494;562,779
"582088";582088;"USA";369,2675;346,1165;283,268; ;291,472;323,2124;297,5368;322,2081;329,8801
"582089";582089;"USA";424,092;445,4849;418,6262; ;467,17;444,9833;435,137;449,603;447,3288
"582090";582090;"USA";304,4065;272,3171;293,1894; ;286,4303;279,639;290,7775;275,5822;295,2901
"582091";582091;"USA";507,1553;513,5976;534,8788; ;485,176;518,0319;519,2376;521,6253;484,9439
"582092";582092;"USA";420,3569;409,5403;390,7659; ;409,0908;403,7549;378,7768;386,7093;405,844
"582093";582093;"USA";545,0366;660,8299;579,3403; ;662,2564;661,8792;663,7823;643,2365;668,7593
"582094";582094;"USA";541,2775;586,2005;552,9165; ;586,485;572,1189;574,975;589,1744;605,732
"582095";582095;"USA";543,4211;562,3019;571,9006; ;561,5576;571,3339;581,708;574,7269;565,3459
"582096";582096;"USA";414,6008;360,7048;445,9874; ;433,4539;388,6249;418,42;393,6399;417,7111
"582097";582097;"USA";408,5183;465,0441;437,5072; ;460,2074;472,6633;460,0596;480,5945;467,2435
"582098";582098;"USA";451,465;500,5094;466,9288; ;494,9734;480,319;498,6901;471,5507;536,3552
"582099";582099;"USA";504,346;581,3744;584,8254; ;571,0058;596,6801;602,0573;608,1897;603,5427
"582100";582100;"USA";420,9558;460,7565;434,6312; ;479,414;455,071;479,6312;460,8383;473,0626
"582101";582101;"USA";471,5576;477,6187;472,9169; ;491,1936;453,5315;502,9715;473,7615;479,798
"582102";582102;"USA";490,0868;454,7505;477,4068; ;469,1514;489,0571;483,8505;497,3524;503,1795
"582103";582103;"USA";436,4133;487,3928;455,4261; ;480,9087;464,9703;458,0573;463,2378;467,8928
"582104";582104;"USA";613,2617;701,9795;619,5574; ;685,439;695,9039;718,3315;713,3219;678,6497
"582105";582105;"USA";503,2764;594,1494;576,8656; ;577,0516;608,331;615,5728;578,2026;571,3373
