"id","estimation_ges","classe_estimation_ges"
10679090,6.25,"B"
10679105,24,"C"
10679197,54.2,"D"
10679268,0,"N"
10679318,0,"N"
10679390,0,"N"
10679400,4.35,"B"
10679419,52.21,"E"
10679428,0,"N"
10679441,7.52,"B"
10679466,0,"N"
10679470,0,"N"
10679500,0,"A"
10679516,14,"C"
10679542,0,"N"
10679559,3,"A"
10679610,0,"N"
10679672,3.64,"A"
10679694,0,"N"
10679722,0.18,"A"
10679739,8,"B"
10679775,0,"A"
10679784,2,"A"
10679828,0,"N"
10679872,0,"N"
10679905,0,"N"
10679936,7.02,"B"
10679973,0,"N"
10680015,0,"A"
10680017,0,"N"
10680028,0,"N"
10680046,0,"N"
10680056,39,"D"
10680103,0,"N"
10680114,0,"N"
10680130,0,"N"
10680142,0,"N"
10680174,13,"C"
10680177,0,"N"
10680206,0,"N"
10680223,0,"N"
10680251,5,"B"
10680316,0,"N"
10680319,0,"N"
10680329,0,"N"
10680343,0,"A"
10680353,0,"N"
10680378,0,"N"
10680428,0,"N"
10680438,0,"N"
10680479,9.54,"B"
10680498,0,"N"
10680570,0,"N"
10680598,11.57,"C"
10680743,0,"N"
10680761,26,"B"
10680766,0,"N"
10680857,25.02,"C"
10680892,0,"N"
10681027,0,"N"
10681033,5.39,"A"
10681043,15.21,"C"
10681053,14,"C"
10681106,0,"N"
10681128,0,"N"
10681168,0,"N"
10681174,0,"N"
10681177,0,"N"
10681216,0,"N"
10681225,5,"A"
10681235,0,"N"
10681236,0,"N"
10681269,0,"A"
10681366,0,"N"
10681396,0,"N"
10681400,36,"D"
10681411,13,"C"
10681414,0,"A"
10681430,0,"N"
10681439,0,"N"
10681444,0,"N"
10681457,11,"B"
10681461,0,"N"
10681552,0,"N"
10681556,0,"N"
10681559,20.63,"C"
10681560,0,"N"
10681583,12.61,"C"
10681595,0,"N"
10681612,15.64,"B"
10681641,16.51,"C"
10681668,11,"C"
10681677,2,"A"
10681694,27.74,"D"
10681727,8.72,"A"
10681741,0,"N"
10681759,0,"N"
10681837,16,"C"
10681853,0,"N"
10681867,25.93,"C"
10681873,0,"N"
10681888,0,"N"
10681942,0,"N"
10681948,0,"N"
10681994,17.7,"C"
10682049,0,"A"
10682069,0,"N"
10682074,3.49,"A"
10682080,4.41,"B"
10682091,0,"N"
10682095,0,"N"
10682111,14,"C"
10682136,0,"N"
10682143,40,"D"
10682291,0,"N"
10682344,0,"N"
10682360,0,"N"
10682380,0,"N"
10682385,2,"A"
10682408,6,"B"
10682428,11.37,"C"
10682469,33,"C"
10682472,17,"C"
10682477,0,"N"
10682483,0,"N"
10682498,0,"N"
10682521,0,"N"
10682548,0,"N"
10682589,50.23,"E"
10682594,41,"D"
10682597,0,"N"
10682669,16.02,"C"
10682676,6.38,"B"
10682678,0,"N"
10682737,0,"N"
10682738,27,"C"
10682779,0,"N"
10682791,27,"D"
10682793,0,"N"
10682795,0,"N"
10682823,24,"C"
10682870,0,"N"
10683011,7.42,"B"
10683265,0,"N"
10683410,28.43,"D"
10683414,0,"N"
10683451,0,"N"
10683469,0,"N"
10683478,0,"N"
10683481,0,"N"
10683565,0,"N"
10683590,0,"N"
10683637,0,"N"
10683668,0,"N"
10683683,0,"N"
10683749,0,"N"
10683790,14.19,"N"
10683793,13.1,"C"
10683796,0,"N"
10683829,0,"N"
10683838,0,"N"
10683917,0,"N"
10683966,0,"N"
10683968,21,"C"
10683976,0,"N"
10683989,0,"N"
10683990,45.55,"D"
10683995,0,"N"
10684013,0,"N"
10684023,0,"N"
10684038,5,"A"
10684040,0,"N"
10684144,31.01,"D"
10684145,0,"N"
10684268,0,"N"
10684408,16,"C"
10684419,0,"N"
10684427,17,"C"
10684431,4,"A"
10684440,0,"N"
10684446,0,"N"
10684447,12,"B"
10684521,47.17,"E"
10684522,0,"N"
10684545,0,"N"
10684561,7,"B"
10684565,0,"N"
10684599,0,"N"
10684662,0,"N"
10684701,0,"A"
10684730,0,"N"
10684745,95,"D"
10684748,0,"N"
10684760,42.67,"D"
10684777,25.29,"C"
10684801,7,"B"
10684807,10,"B"
10684856,0,"N"
10684857,0,"N"
10684861,10,"B"
10684869,29.62,"D"
10684905,0,"N"
10684966,0,"N"
10684998,0,"N"
10685008,0,"A"
10685020,0,"N"
10685027,0,"N"
10685028,0,"N"
10685033,0,"N"
10685064,16.14,"C"
10685073,0,"N"
10685079,0,"N"
10685094,0,"A"
10685099,0,"N"
10685106,26,"D"
10685147,29.97,"C"
10685156,0,"N"
10685251,8,"B"
10685270,8,"B"
10685334,0,"N"
10685335,0,"N"
10685347,0,"N"
10685369,40,"D"
10685410,53,"C"
10685441,0,"N"
10685445,6,"B"
10685449,0,"N"
10685457,3,"A"
10685471,0,"N"
10685489,0,"N"
10685505,0,"N"
10685537,9.7,"B"
10685567,16,"C"
10685601,0,"N"
10685654,0,"N"
10685679,0,"N"
10685693,0,"N"
10685704,0,"N"
10685709,0,"N"
10685732,15.57,"C"
10685734,0,"N"
10685735,7.25,"B"
10685749,4.27,"B"
10685813,0,"N"
10685868,28,"D"
10685876,9,"B"
10685878,3.33,"A"
10685967,29,"C"
10685998,28,"C"
10686002,0,"N"
10686038,22,"B"
10686041,22,"B"
10686049,43,"D"
10686102,0,"N"
10686103,7,"A"
10686133,35,"D"
10686149,4,"A"
10686196,0,"A"
10686201,13,"C"
10686210,0,"N"
10686248,24.97,"C"
10686326,9,"B"
10686331,4.95,"A"
10686361,0,"N"
10686415,0,"N"
10686501,31.53,"D"
10686559,0,"N"
10686565,0,"N"
10686604,0,"N"
10686686,25.52,"C"
10686711,0,"N"
10686779,89.72,"F"
10686833,0,"N"
10686853,0,"N"
10686866,2,"A"
10686880,0,"N"
10686927,0,"N"
10686980,45,"D"
10686989,45,"D"
10687004,35,"D"
10687036,0,"N"
10687058,0,"N"
10687059,0,"N"
10687065,8,"B"
10687101,14,"B"
10687193,24,"C"
10687198,0,"N"
10687244,19.17,"C"
10687304,54.67,"E"
10687347,0,"N"
10687395,0,"N"
10687398,0,"N"
10687449,0,"N"
10687457,0,"N"
10687484,8.02,"A"
10687524,0,"N"
10687528,0,"N"
10687536,0,"N"
10687650,0,"N"
10687659,0,"N"
10687664,5.11,"B"
10687682,0,"N"
10687684,7,"B"
10687686,8,"B"
10687708,0,"N"
10687731,49,"E"
10687737,11.51,"B"
10687771,0,"N"
10687805,25,"C"
10687836,14.3,"B"
10687838,16.48,"C"
10687839,47.61,"E"
10687840,0,"N"
10687896,4,"B"
10687907,1,"A"
10687935,1,"A"
10687951,0,"N"
10687963,0,"N"
10687973,8.9,"B"
10688103,0,"N"
10688131,0,"N"
10688137,10.52,"B"
10688160,0,"N"
10688175,0,"N"
10688209,0,"N"
10688214,0,"A"
10688354,0,"N"
10688416,0,"N"
10688426,18.83,"C"
10688458,0,"N"
10688598,0,"N"
10688670,0,"N"
10688819,0,"N"
10689014,0,"N"
10689023,6,"B"
10689031,2.19,"A"
10689057,3.26,"A"
10689144,0,"N"
10689195,0,"N"
10689215,0,"N"
10689233,0,"N"
10689243,0,"N"
10689256,41.53,"C"
10689296,0,"N"
10689304,0,"N"
10689327,24,"C"
10689362,0,"N"
10689397,0,"N"
10689440,36.52,"E"
10689457,12,"C"
10689462,0,"N"
10689499,0,"N"
10689504,0,"N"
10689537,1.33,"A"
10689553,0,"N"
10689556,0,"N"
10689557,0,"N"
10689581,0,"N"
10689584,30.73,"N"
10689592,12.2,"C"
10689634,0,"N"
10689638,0,"N"
10689764,0,"N"
10689768,19,"C"
10689794,0,"N"
10689805,5,"B"
10689806,0,"N"
10689818,0,"N"
10689856,0,"N"
10690021,32.92,"D"
10690023,41.24,"D"
10690048,7.05,"B"
10690082,0,"N"
10690089,0,"N"
10690147,0,"N"
10690172,0,"N"
10690189,0,"N"
10690193,34,"D"
10690372,0,"A"
10690376,0,"N"
10690386,0,"N"
10690398,37,"D"
10690436,0,"N"
10690494,0,"N"
10690497,0,"N"
10690507,0,"N"
10690531,0,"N"
10690568,31.77,"D"
10690573,0,"N"
10690619,0,"N"
10690623,0,"N"
10690624,0,"N"
10690638,0,"N"
10690644,0,"N"
10690724,0,"N"
10690785,0,"N"
10690837,0,"N"
10690888,10,"B"
10690961,5,"A"
10690973,0,"N"
10690988,0,"N"
10691002,0,"N"
10691006,0,"N"
10691058,0,"N"
10691059,2,"A"
10691132,0,"N"
10691137,55,"E"
10691215,8,"B"
10691258,0,"N"
10691262,51.59,"E"
10691326,0,"A"
10691399,0,"N"
10691494,0,"A"
10691517,0,"A"
10691519,6.69,"B"
10691520,0,"N"
10691521,4.52,"B"
10691556,2,"A"
10691578,17,"C"
10691612,0,"N"
10691615,11.48,"C"
10691629,0,"N"
10691643,16,"C"
10691666,0,"N"
10691678,15.46,"C"
10691806,0,"N"
10691814,0,"A"
10691846,44.37,"D"
10691855,22.24,"B"
10691857,41.71,"D"
10691883,0,"N"
10691921,6.45,"B"
10691935,0,"A"
10691984,0,"A"
10691996,0,"A"
10692139,0,"N"
10692169,5,"B"
10692212,56,"E"
10692373,0,"N"
10692378,0,"N"
10692383,0,"N"
10692400,0,"N"
10692453,0,"N"
10692464,0,"N"
10692498,0,"N"
10692558,5,"B"
10692576,0,"N"
10692584,21.03,"C"
10692609,0,"N"
10692620,26.38,"D"
10692623,11,"C"
10692670,0,"N"
10692673,0,"N"
10692688,24,"C"
10692697,0,"N"
10692711,0,"N"
10692713,6,"B"
10692726,0,"N"
10692755,0,"N"
10692786,0,"N"
10692819,0,"N"
10692822,11.98,"C"
10692881,0,"N"
10692940,3,"A"
10692986,0,"N"
10693027,20.29,"C"
10693031,0,"N"
10693058,7.37,"B"
10693062,7.05,"B"
10693081,14.6,"C"
10693100,11,"C"
10693105,0,"N"
10693109,0,"N"
10693133,36,"D"
10693155,3,"A"
10693158,20,"C"
10693214,0,"N"
10693215,0,"N"
10693221,3.24,"N"
10693233,0,"N"
10693239,12,"C"
10693257,0,"N"
10693259,41,"D"
10693269,0,"N"
