"id","date_etablissement_dpe","consommation_energie","classe_consommation_energie","secteur_activite","annee_construction","surface_habitable","commune"
10672018,2021-01-04,459,"E","Bureau, Administration, Enseignement",1,"619.30","COUTANCES"
10672054,2021-01-04,214.45,"D","Bureaux",2001,"0.00","NÎMES"
10672065,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"169.40","Suresnes"
10672100,2021-01-04,246,"D","Autres (théâtres, salles de sport, restaurati",1947,"85.80","METZ"
10672170,2021-01-04,0,"N","Bureau, Administration, Enseignement",1,"129.82","BESANÇON"
10672173,2021-01-04,227.42,"D","\N",1974,"54.45","GONFREVILLE L ORCHER"
10672177,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"63.80","VITRY-LE-FRANÇOIS"
10672182,2021-12-21,0,"N","",1974,"500.00","MARSEILLE"
10672197,2021-01-04,146.85,"C","Habitation (Parties privatives d'immeuble col",1900,"0.00","LURE"
10672236,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"108.24",""
10672238,2021-01-04,923,"G","Autres (théâtres, salles de sport, restaurati",1947,"465.30","LA CIOTAT"
10672265,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"82.58","BOURG EN BRESSE"
10672336,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"52.14","Saint-Herblain"
10672338,2021-01-04,404,"F","Autres (théâtres, salles de sport, restaurati",1947,"104.68","MONTARGIS"
10672351,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"108.24","CAMBRAI"
10672356,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1,"1140.70","HOUDAN"
10672379,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1,"38.72","FALAISE"
10672380,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"391.60","DAX"
10672453,2021-01-04,0,"N","\N",1947,"44.00","ARMENTIÈRES"
10672469,2021-01-04,0,"N","Bureaux",1960,"0.00","VAISON-LA-ROMAINE"
10672477,2021-01-04,355,"E","Autres (théâtres, salles de sport, restaurati",1,"42.47","SIX-FOURS-LES-PLAGES"
10672478,2021-01-04,192.83,"C","\N",1947,"65.13","MARSEILLE"
10672504,2021-01-04,1093,"G","Autres (théâtres, salles de sport, restaurati",1947,"166.36","LA CIOTAT"
10672512,2021-01-04,274.88,"D","Bureaux",1990,"0.00","VALENCE"
10672541,2021-01-04,118,"C","Autres (théâtres, salles de sport, restaurati",1947,"617.10","VITRE"
10672558,2021-01-04,0,"N","\N",1947,"156.20","LE VAUDREUIL"
10672583,2021-01-04,0,"N","\N",1947,"49.85","MARSEILLE"
10672595,2021-01-04,0,"A","Magasin de vente",0,"64.18","VIMY"
10672605,2021-01-04,0,"N","Bureau, Administration, Enseignement",1947,"123.53","TOULOUSE"
10672750,2021-01-04,315,"D","Bureau, Administration, Enseignement",1947,"63.60","Blain"
10672866,2021-01-04,0,"N","\N",1947,"440.00","BORDEAUX"
10672879,2021-01-04,87.9,"B","\N",1998,"120.10","FORBACH"
10672883,2021-01-04,219,"D","Autres (théâtres, salles de sport, restaurati",1947,"126.50","BEAUVOIR SUR MER"
10672916,2021-01-04,0,"N","ANIMALERIE",2005,"1243.00","ST BRICE COURCELLES"
10673111,2021-01-04,0,"A","\N",1974,"291.30","BERGERAC"
10673112,2021-01-04,0,"N","\N",1947,"74.80","ARMENTIÈRES"
10673129,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1,"127.60","ANGOULEME"
10673142,2021-01-04,0,"N","\N",1947,"23.10","MARANS"
10673164,2021-01-04,1082,"G","Autres (théâtres, salles de sport, restaurati",1947,"53.90","AVIGNON"
10673176,2021-01-04,174.32,"C","\N",1947,"65.13","MARSEILLE"
10673195,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"25.80","COURS"
10673251,2021-01-04,422.69,"F","\N",1977,"74.69","LAGUIOLE"
10673278,2021-01-04,257.6,"D","Cabinet infirmier",1974,"\N","LE HAVRE"
10673312,2021-01-04,112.68,"C","",2021,"\N","THOUARE-SUR-LOIRE"
10673332,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"137.26","LA CIOTAT"
10673346,2021-01-04,616.58,"E","Commerce",1983,"0.00","PLOUÉNAN"
10673360,2021-01-04,984.72,"G","\N",1947,"83.60","RENNES"
10673373,2021-01-04,93.74,"C","",2008,"0.00","VILLERS-LÈS-NANCY"
10673379,2021-01-04,0,"N","Etablissements sanitaires : Hôpitaux et clini",1975,"0.00","BASTIA"
10673398,2021-01-04,0,"N","",2004,"0.00","ALLONNE"
10673400,2021-01-04,0,"N","",2004,"0.00","ALLONNE"
10673406,2021-01-04,535.86,"G","\N",1947,"95.56","AUBAGNE"
10673407,2021-01-04,0,"N","",2004,"0.00","ALLONNE"
10673416,2021-01-04,0,"N","Habitation (Maisons individuelles)",1968,"0.00","SAINTES"
10673456,2021-01-04,304,"E","Autres (théâtres, salles de sport, restaurati",1,"1630.75","RUITZ"
10673492,2021-01-04,0,"A","",1970,"40.11","SAINT-ÉTIENNE"
10673501,2021-01-04,0,"N","Bureau, Administration, Enseignement",1,"22.66","PLOEREN"
10673506,2021-01-04,0,"N","Commerce",1974,"0.00","NIMES"
10673512,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"51.37","Cauvigny"
10673601,2021-01-04,215,"D","Bureau, Administration, Enseignement",1,"484.18","MUTTERSHOLTZ"
10673631,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"73.70","REIMS"
10673634,2021-01-04,0,"N","\N",1974,"203.50","METZ"
10673644,2021-01-04,0,"N","Commerce",1974,"0.00","NIMES"
10673685,2021-01-04,258,"D","Bureau, Administration, Enseignement",1,"1941.14","MONTPELLIER CEDEX"
10673709,2021-01-04,125,"C","Bureau, Administration, Enseignement",1947,"31.81","ST GEORGES D ESPERANCHE"
10673721,2021-01-04,0,"N","Autres",2000,"0.00","DUISANS"
10673761,2021-01-04,213,"D","Bureau, Administration, Enseignement",1947,"379.94","PARIS 10"
10673766,2021-01-04,0,"N","Autres",1993,"0.00","NÎMES"
10673796,2021-01-04,0,"N","Bureau, Administration, Enseignement",1947,"266.20","CRETEIL"
10673807,2021-01-04,178,"D","Autres (théâtres, salles de sport, restaurati",1,"271.51","MONTPELLIER"
10673821,2021-01-04,0,"N","Bureau, Administration, Enseignement",1,"22.66","PLOEREN"
10673841,2021-01-04,0,"N","Commerce",1974,"0.00","NIMES"
10673857,2021-01-04,0,"N","Bureau, Administration, Enseignement",1947,"108.13","LOCHES"
10673905,2021-01-04,0,"A","",2010,"79.57","VILLARS-LES-DOMBES"
10673907,2021-01-04,0,"N","Commerce",1974,"0.00","NIMES"
10673919,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1,"145.64","SILLANS"
10673925,2021-01-04,192.53,"D","\N",1947,"209.00","OUSSON-SUR-LOIRE"
10673950,2021-01-04,0,"N","Commerce",1930,"0.00","BEUVARDES"
10673986,2021-01-04,0,"N","\N",1947,"132.00","ROCHEFORT"
10673987,2021-01-04,0,"N","Bureau, Administration, Enseignement",1947,"302.91","Paris"
10674014,2021-01-04,81,"B","Autres (théâtres, salles de sport, restaurati",1947,"102.05","PARAY-LE-MONIAL"
10674023,2021-01-04,0,"N","Commerce",1974,"0.00","NIMES"
10674036,2021-01-04,0,"N","\N",2005,"457.60","CHAMBLY"
10674084,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1,"214.50","VENDEUVRE-DU-POITOU"
10674101,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"31.00","SAINT-MARTIN-DE-SALENCEY"
10674183,2021-01-04,268,"D","Autres (théâtres, salles de sport, restaurati",1,"104.19","MENTON"
10674190,2021-01-04,0,"A","",1948,"57.00","BORDEAUX"
10674251,2021-01-04,669.61,"H","",2020,"\N","SAINT-PIERRE-D'OLERON"
10674252,2021-01-04,279.62,"E","",2020,"\N","SAINT-PIERRE-D'OLERON"
10674253,2021-01-04,198.73,"D","",2020,"\N","SAINT-PIERRE-D'OLERON"
10674254,2021-01-04,593.49,"H","",2020,"\N","SAINT-PIERRE-D'OLERON"
10674289,2021-01-04,0,"N","Commerce",1974,"0.00","NIMES"
10674294,2021-01-04,105,"C","Autres (théâtres, salles de sport, restaurati",1,"880.00","REMIREMONT"
10674337,2021-01-04,0,"A","",1948,"274.33","BRESSUIRE"
10674368,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"67.10","MONTATAIRE"
10674385,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"67.10","MONTATAIRE"
10674389,2021-01-04,204,"D","Commerce",1974,"0.00","NIMES"
10674394,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"165.59","PARIS 20"
10674453,2021-01-04,223.95,"D","",1948,"88.00","MOULINS"
10674464,2021-01-04,0,"N","Commerce",1974,"0.00","NIMES"
10674485,2021-01-04,134,"C","Autres (théâtres, salles de sport, restaurati",1947,"149.28","ST BRIEUC"
10674505,2021-01-04,126,"C","Autres (théâtres, salles de sport, restaurati",1947,"47.77","PARIS"
10674571,2021-01-04,0,"N","\N",1968,"40.00","ANNECY LE VIEUX"
10674641,2021-01-04,0,"A","",1948,"2.00","AUBY"
10674662,2021-01-04,147.76,"C","\N",1969,"55.00","MARDEUIL"
10674666,2021-01-04,0,"N","Commerce",1974,"0.00","NIMES"
10674687,2021-01-04,138,"C","Bureau, Administration, Enseignement",1947,"69.30","IRIGNY"
10674692,2021-01-04,0,"N","Commerce",1974,"0.00","NIMES"
10674699,2021-01-04,0,"N","Bureaux",2000,"0.00","SAINT-ÉTIENNE"
10674754,2021-01-04,158,"C","Autres (théâtres, salles de sport, restaurati",1,"946.00","GUIPAVAS"
10674767,2021-01-04,848,"G","Autres (théâtres, salles de sport, restaurati",1,"268.88","MARSEILLE 03"
10674908,2021-01-04,169.55,"C","Bureaux",1995,"0.00","MONTFAVET"
10674954,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1,"66.96","MORZINE"
10674957,2021-01-05,0,"N","Bureau, Administration, Enseignement",1800,"77.76","MEGEVE"
10674964,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1,"66.96","MORZINE"
10674978,2021-01-04,358,"E","Autres (théâtres, salles de sport, restaurati",1947,"93.08","PARIS"
10674979,2021-01-04,436.51,"D","Autre bâtiment de culture et loisirs",1949,"0.00","LA CROIX-VALMER"
10675018,2021-01-05,279,"E","Commerce",2001,"0.00","SAIX"
10675150,2021-01-04,0,"N","Commerce",1945,"0.00","EPINAL"
10675180,2021-01-05,422.53,"E","\N",1974,"533.50","BORDEAUX"
10675226,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1,"537.08","ORAISON"
10675283,2021-01-05,0,"N","Habitation (Parties privatives d'immeuble col",1997,"0.00","LANCON-PROVENCE"
10675287,2021-01-05,178.33,"C","\N",1947,"76.10","MARSEILLE"
10675325,2021-01-04,0,"N","Autres",2017,"0.00","SEIGNOSSE"
10675328,2021-01-05,0,"N","Commerce",1947,"0.00","APT"
10675360,2021-01-04,108.52,"C","Locaux sportifs",2012,"0.00","LA TESTE-DE-BUCH"
10675401,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1,"715.00","MOLINGES"
10675416,2021-01-05,359.51,"E","\N",1974,"58.30","CHERBOURG EN COTENTIN"
10675428,2021-01-05,0,"N","bureaux",2006,"69.85","NANTES"
10675476,2021-01-04,0,"N","Bureaux",1970,"0.00","TOURS"
10675479,2021-01-05,220.06,"D","\N",2007,"1210.00","SALLANCHES"
10675542,2021-01-04,108.5,"C","Locaux sportifs",2012,"0.00","LA TESTE-DE-BUCH"
10675594,2021-01-06,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"53.90","CHAMPIGNE"
10675623,2021-01-05,169.18,"C","\N",1982,"117.15","THIERS"
10675786,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"476.30","SAINT-AMANT-DE-BOIXE"
10675806,2021-01-05,467.13,"F","",2003,"0.00","GÉRARDMER"
10675825,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"136.24","BITCHE"
10675856,2021-01-05,467.13,"F","",2003,"0.00","GÉRARDMER"
10675891,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1,"293.70","NANTES"
10675924,2021-01-05,24,"A","Bureau, Administration, Enseignement",1,"45.51","Sèvremoine"
10675926,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"71.72","PARIS"
10675971,2021-01-05,467.13,"F","",2003,"0.00","GÉRARDMER"
10675973,2021-01-05,0,"N","bureaux",2000,"\N","JOUE LES TOURS"
10675980,2021-01-05,0,"N","Batiment(s) a usage exclusif commerce",1974,"0.00","ROUEN"
10676016,2021-01-05,0,"N","Bureau, Administration, Enseignement",1947,"143.88","HARFLEUR"
10676051,2021-01-05,0,"N","Artisanat",1982,"0.00","VENISSIEUX"
10676062,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"51.21","LA CAILLERE ST HILAIRE"
10676101,2021-01-05,0,"A","\N",1974,"98.80","CESTAS"
10676181,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"114.06","LISIEUX"
10676209,2021-01-05,0,"N","bureaux",2000,"\N","JOUE LES TOURS"
10676227,2021-01-05,0,"N","",1900,"0.00","NICE"
10676233,2021-01-05,467.13,"F","",2003,"0.00","GÉRARDMER"
10676243,2021-01-05,105.5,"C","Habitation (Maisons individuelles)",1955,"0.00","SAINT-ERBLON"
10676286,2021-01-05,0,"N","Bureau, Administration, Enseignement",1947,"440.00","GERARDMER"
10676310,2021-01-05,467.13,"F","",2003,"0.00","GÉRARDMER"
10676323,2021-01-05,149,"C","Autres (théâtres, salles de sport, restaurati",1947,"91.25","SAINT-NAZAIRE"
10676361,2021-01-05,406,"D","Occupation continue (hôpitaux, hôtels, intern",1,"968.00","BOEN SUR LIGNON"
10676419,2021-01-05,467.13,"F","",2003,"0.00","GÉRARDMER"
10676421,2021-01-05,366.82,"E","Commerce",1948,"100.00","SAINT-GERMAIN-EN-LAYE"
10676465,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"80.09","SAINT-CALAIS"
10676531,2021-01-05,0,"N","Occupation continue (hôpitaux, hôtels, intern",1947,"242.00","FRÉJUS"
10676547,2021-01-05,0,"N","\N",1974,"258.50","BRAINE"
10676561,2021-01-05,150.85,"C","\N",1974,"55.33","LE HAVRE"
10676563,2021-01-05,0,"N","bureaux",2000,"\N","JOUE LES TOURS"
10676565,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"126.73","ARBOIS"
10676581,2021-01-05,0,"N","Occupation continue (hôpitaux, hôtels, intern",1947,"352.00","FRÉJUS"
10676635,2021-01-04,0,"N","Occupation continue (hôpitaux, hôtels, intern",1947,"1067.00","FRÉJUS"
