"X";"COUNT";"MATH";"READ";"SCIE";"GLCM";"RCLI";"RCUN";"RCER";"RTSN";"RTML"
"180051";180051;"FRA";443,543;401,2648;461,7619; ;402,437;402,0443;397,827;381,0242;395,2919
"180052";180052;"FRA";515,1691;508,9156;458,1629; ;524,17;515,0506;528,4316;519,1118;528,893
"180053";180053;"FRA";427,3882;478,2258;459,2428; ;527,8516;496,3064;487,0991;471,1796;508,4324
"180054";180054;"FRA";418,1282;374,9006;356,3704; ;355,8947;380,5752;417,9143;348,1454;409,5491
"180055";180055;"FRA";338,402;327,7171;361,4339; ;360,0559;310,5828;343,5075;309,3922;352,5838
"180056";180056;"FRA";557,3682;622,6022;527,2709; ;628,5093;609,6022;610,8206;605,9158;610,3085
"180057";180057;"FRA";392,002;411,3487;420,3625; ;336,5183;384,9517;404,5272;369,0672;374,1694
"180058";180058;"FRA";509,0766;564,409;566,9947; ;585,1822;560,2532;581,1366;552,9524;587,9383
"180059";180059;"FRA";616,9944;626,4909;596,0049; ;612,1694;638,8111;633,4431;628,7456;652,564
"180060";180060;"FRA";590,8841;583,9279;591,3239; ;590,0748;577,75;610,1161;591,0988;608,6968
"180061";180061;"FRA";564,9086;566,6362;574,489; ;560,7798;561,2207;561,4632;556,193;593,3058
"180062";180062;"FRA";420,6307;383,0313;425,1877; ;381,3879;388,4685;394,4622;383,2075;393,7716
"180063";180063;"FRA";564,9168;605,7533;629,7985; ;578,2693;589,1523;598,4396;600,3246;623,9604
"180064";180064;"FRA";490,8692;504,4358;457,7383; ;492,7194;519,8038;508,9679;503,3369;510,3632
"180065";180065;"FRA";354,0905;406,2445;405,8146; ;394,4815;404,3869;379,2243;398,3016;383,585
"180066";180066;"FRA";435,9656;415,3195;416,1385; ;402,5345;378,9282;363,174;405,297;384,704
"180067";180067;"FRA";513,417;495,6004;489,0863; ;551,5973;512,01;478,3246;502,9514;510,1607
"180068";180068;"FRA";493,5214;478,1744;479,4599; ;467,6946;467,0642;496,6219;478,9061;469,6399
"180069";180069;"FRA";491,2215;521,9849;554,0928; ;507,6705;531,581;478,8078;517,9627;516,3461
"180070";180070;"FRA";494,9493;484,8296;476,7519; ;501,2043;473,9128;471,8138;471,9082;472,5814
